time_s,current_A
94473,4.5667437135239615
94474,4.566984034082941
94475,4.567224393982769
94476,4.567464793234391
94477,4.567705231848791
94478,4.567945709836929
94479,4.568186227209762
94480,3.0872631989489325
94481,3.0796363185009734
94482,3.0897095741815948
94483,3.1012499719692666
94484,3.0882482526273662
94485,3.0930659872335595
94486,2.9886687514892496
94487,2.9418288073815773
94488,2.944450611946066
94489,2.9441160467740755
94490,3.153944349395472
94491,3.214156231852994
94492,3.1185127679806777
94493,3.1285350669775878
94494,3.1350952408574617
94495,3.139175362735966
94496,3.1283111244302346
94497,3.1023324871412075
94498,3.119496744025773
94499,3.136980195122045
94500,3.127021247078414
94501,3.129408233308825
94502,2.9713083909189635
94503,2.939452686913275
94504,2.9358053427961783
94505,2.934946063036434
94506,3.135255044523247
94507,3.1676980501915692
94508,3.098423449606456
94509,3.0933919920500648
94510,3.1060657213050846
94511,3.098621302759003
94512,3.113169961505161
94513,3.1104713655434533
94514,3.1063017321454742
94515,3.117807912465013
94516,3.1145536082950867
94517,3.10155353532086
94518,2.97628102618631
94519,2.9610866930772426
94520,2.954496512253174
94521,2.9515357701818536
94522,3.115179147721026
94523,3.246631214362026
94524,3.1444500678248093
94525,3.139335213300116
94526,3.119623233217713
94527,3.1064910785632165
94528,3.107224158569694
94529,3.043640572408061
94530,3.029203422940077
94531,3.038127668221684
94532,3.035620390561152
94533,3.0387032617055287
94534,2.931714759221471
94535,2.863635429992634
94536,2.8670682626203154
94537,2.8660175404979995
94538,2.9998107211592875
94539,3.129063721274076
94540,3.0244646242103945
94541,3.0236730544770865
94542,3.037767750256276
94543,3.0397619240976983
94544,3.0233330092202353
94545,3.025533744439888
94546,3.038147012849164
94547,3.037056129235981
94548,3.045203163133778
94549,3.036304760198097
94550,2.9359643446391424
94551,2.887824948557288
94552,2.8806932274652675
94553,2.8880722691027794
94554,3.0555811100918024
94555,3.164510713509353
94556,3.0967569046244368
94557,3.0688289004900997
94558,3.0833764844897993
94559,3.0677604013114075
94560,3.071644681676112
94561,3.054467141797152
94562,3.0645769027237444
94563,3.0745306456364436
94564,3.0737427349385276
94565,3.071478031281183
94566,2.9419063979597255
94567,2.8894626760630464
94568,2.891900279150494
94569,2.8893689323389995
94570,3.0433980292736598
94571,3.1312801842597775
94572,3.054069950053375
94573,3.036576933916888
94574,3.0352327090953346
94575,3.044956935813764
94576,3.036292561924223
94577,3.0480904619605464
94578,3.0505712344569886
94579,3.0582623056464326
94580,3.060925393749021
94581,3.068872457902825
94582,2.9435329764525786
94583,2.9114487296579363
94584,2.9151899404247894
94585,2.9130721432157674
94586,3.0588976206094824
